campo_64;campo_34;campo_36;campo_38;campo_53;campo_80;campo_39;campo_62;campo_61;campo_100;campo_22;campo_75;campo_70;campo_71;campo_72;campo_73;campo_69;campo_68;campo_84;campo_83;campo_74;campo_87;campo_86;campo_85;campo_94;campo_93;campo_7;campo_35;campo_37;campo_91;campo_101;campo_92;campo_26;campo_23;campo_97;campo_10;campo_11;campo_12;campo_13;campo_51;campo_81;campo_77;campo_76;campo_78;campo_79;campo_95;campo_46;campo_20;campo_2;campo_104;campo_60_cat;Presenta_union
Medio;ALMACENAMIENTO Y DEPOSITO;0.0;0.0;0.0;0.0;3.0;6.0;4.0;0.0;3.0;1604017344.0;547409661.0;2291082104.0;2310891390.0;2231594854.0;0.0;0.0;69232270.0;1799164349.0;1688883929.0;5539295.0;0.0;3661.0;29238457.0;0.0;1.0;0.0;0.0;0.0;12.0;27.0;424526208.0;429608160.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;69232270.0;69232270.0;-19490383.0;-19809286.0;1688883929.0;OPLOG;PERSONA JURIDICA COMERCIAL;1.0;15.0;5;1
Bajo;FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;13.0;0.0;648769533.0;720700115.0;752358799.0;0.0;0.0;0.0;93012364.0;61353680.0;0.0;0.0;0.0;0.0;288497.0;0.0;0.0;1.0;1.0;1.0;12.0;3.0;6269120536.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-31658684.0;-159938854.0;0.0;SOCINV;PERSONA JURIDICA COMERCIAL;0.0;4.0;3;1
Bajo;FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;7927434386.0;7964348761.0;7927535575.0;0.0;0.0;0.0;156795.0;36969981.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;65637504512.0;8458836992.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;36813186.0;-188126.0;0.0;SOCINV;PERSONA JURIDICA COMERCIAL;0.0;9.0;4;1
Bajo;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;1.0;1.0;0.0;53758868.0;1.0;0.0;26.0;0.0;2.0;0.0;0.0;183500682.0;143566856.0;0.0;0.0;104037.0;23609440.0;57113238.0;57113238.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;12.0;0.0;1558290648.0;371478720.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;33553924.0;53758868.0;0.0;INMO;PERSONA JURIDICA COMERCIAL;0.0;12.0;5;1
Bajo;CULTIVO DE PLANTAS PERENNES;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;10000000.0;10000000.0;10270000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;12.0;0.0;3344564480.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-270000.0;0.0;NOVATOS;PERSONA JURIDICA COMERCIAL;0.0;2.0;3;1
Bajo;CULTIVO DE PLANTAS PERENNES;1.0;1.0;0.0;126699909.0;1.0;0.0;1.0;0.0;2.0;0.0;1044712486.0;1142213164.0;1050269574.0;0.0;0.0;34756319.0;2841129.0;129541038.0;129541038.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;12.0;0.0;4794935424.0;947159040.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;91943590.0;126699909.0;0.0;AGROP;PERSONA JURIDICA COMERCIAL;1.0;16.0;5;1
Medio;ACTIVIDADES AUXILIARES DE SERVICIOS FINANCIEROS, EXCEPTO LAS DE SEGUROS Y FONDOS DE PENSIONES;0.0;0.0;0.0;0.0;3.0;0.0;14.0;0.0;2.0;0.0;267908028.0;284765383.0;305325785.0;0.0;0.0;0.0;20560402.0;0.0;0.0;471526.0;0.0;0.0;2502314.0;0.0;0.0;0.0;0.0;0.0;12.0;3.0;837347832.0;229565648.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;-20560402.0;-21502437.0;0.0;INTFIN;PERSONA JURIDICA COMERCIAL;1.0;16.0;5;1
Bajo;ACTIVIDADES DE SEGURIDAD PRIVADA;0.0;0.0;0.0;3962193.0;2.0;3.0;101.0;0.0;4.0;57205392.0;63232087.0;64044011.0;60759081.0;0.0;380460.0;0.0;71344459.0;131726201.0;131643900.0;0.0;0.0;600000.0;17870663.0;0.0;0.0;0.0;0.0;9.0;12.0;31.0;994268675.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;33312355.0;33312355.0;3284930.0;3962193.0;128392000.0;SSPERS;PERSONA JURIDICA COMERCIAL;0.0;6.0;4;1
Medio;SR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;205001224.0;357444016.0;361898368.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14852543.0;0.0;0.0;303563979.0;0.0;0.0;0.0;1.0;12.0;0.0;1491240768.0;273458784.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;-2008697.0;-143895461.0;0.0;INMO;PERSONA JURIDICA COMERCIAL;1.0;29.0;6;1
Medio;ACTIVIDADES INMOBILIARIAS REALIZADAS CON BIENES PROPIOS O ARRENDADOS;1.0;1.0;0.0;0.0;1.0;1.0;12.0;0.0;0.0;0.0;237171375.0;285171375.0;223820432.0;0.0;3221304.0;0.0;0.0;0.0;0.0;93249.0;0.0;0.0;2086336.0;0.0;1.0;1.0;1.0;9.0;12.0;4.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;87471100.0;INMO;PERSONA NATURAL;1.0;29.0;6;1
