campo_64;campo_34;campo_36;campo_38;campo_53;campo_80;campo_39;campo_62;campo_61;campo_100;campo_22;campo_75;campo_70;campo_71;campo_72;campo_73;campo_69;campo_68;campo_84;campo_83;campo_74;campo_87;campo_86;campo_85;campo_94;campo_93;campo_8;campo_35;campo_37;campo_91;campo_101;campo_92;campo_26;campo_23;campo_97;campo_10;campo_11;campo_12;campo_13;campo_51;campo_81;campo_77;campo_76;campo_78;campo_79;campo_95;campo_46;campo_20;campo_3;campo_104;campo_60_cat;Presenta_union
Bajo;ELABORACION DE PRODUCTOS LACTEOS;1.0;1.0;0.0;0.0;1.0;0.0;11.0;0.0;1.0;24679831.0;0.0;0.0;0.0;0.0;0.0;0.0;1086773.0;27994205.0;27994205.0;5475752.0;4981318.0;14502.0;28906179.0;26326620.0;0.0;1.0;1.0;11.0;12.0;34.0;19515544.0;15048017.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;305544.0;0.0;0.0;2479929.0;24307650.0;MANUFACT;PERSONA JURIDICA COMERCIAL;0.0;8.0;4;1
Bajo;SR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-124131.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;NOVATOS;PERSONA NATURAL;1.0;20.0;5;1
Bajo;VENTA AL POR MENOR DE ALIMENTOS, BEBIDAS Y TABACO EN COMERCIOS ESPECIALIZADOS;1.0;1.0;0.0;0.0;1.0;0.0;12.0;0.0;0.0;2413206.0;0.0;0.0;0.0;0.0;171310.0;0.0;664997.0;6336141.0;6334042.0;675479.0;1035554.0;0.0;3628223.0;0.0;0.0;1.0;1.0;0.0;12.0;10.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;664997.0;0.0;0.0;0.0;6017340.0;MINO;PERSONA NATURAL;0.0;4.0;3;1
Bajo;SR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2188.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;TGIRO;PERSONA NATURAL;1.0;8.0;4;0
Bajo;FABRICACION DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;3006468.0;0.0;0.0;0.0;0.0;10998.0;0.0;0.0;657147.0;657147.0;685080.0;215787.0;0.0;4048490.0;0.0;0.0;0.0;0.0;0.0;11.0;21.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;-2349321.0;624290.0;NOVATOS;PERSONA NATURAL;0.0;2.0;3;1
Bajo;VENTA AL POR MENOR DE OTROS PRODUCTOS EN COMERCIOS ESPECIALIZADOS;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;153033.0;353033.0;1878439.0;35211.0;4034.0;0.0;0.0;0.0;0.0;0.0;24078.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;12.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;399920.0;MINO;PERSONA NATURAL;0.0;21.0;5;1
Bajo;VENTA AL POR MENOR DE OTROS PRODUCTOS EN COMERCIOS ESPECIALIZADOS;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;898076.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3635.0;0.0;0.0;1658639.0;0.0;1.0;0.0;0.0;0.0;12.0;5.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;898076.0;0.0;MINO;PERSONA NATURAL;1.0;26.0;5;1
Bajo;OTRAS ACTIVIDADES DE TRANSPORTE POR VIA TERRESTRE;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;46818.0;0.0;0.0;0.0;0.0;144888.0;0.0;0.0;14339606.0;14339606.0;-14214.0;0.0;5005.0;1317960.0;0.0;0.0;1.0;1.0;2.0;12.0;5.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;46798.0;14339606.0;OPLOG;PERSONA NATURAL;0.0;14.0;5;1
Bajo;PUBLICIDAD;0.0;0.0;0.0;0.0;3.0;0.0;7.0;0.0;0.0;7102432.0;0.0;0.0;0.0;0.0;288678.0;0.0;582630.0;14527721.0;14527721.0;508965.0;1666306.0;0.0;3508836.0;8770034.0;0.0;0.0;0.0;3.0;12.0;16.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;582630.0;0.0;0.0;0.0;13801335.0;EMISBH;PERSONA NATURAL;0.0;28.0;5;1
Bajo;REPARACION DE COMPUTADORES Y EQUIPO DE COMUNICACIONES;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1809.0;0.0;0.0;0.0;0.0;71143.0;0.0;0.0;376787.0;0.0;0.0;0.0;0.0;0.0;12.0;3.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;28500.0;ACTEMP;PERSONA NATURAL;1.0;5.0;4;1
Medio;DEMOLICION Y PREPARACION DEL TERRENO;1.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;12.0;0.0;20000000.0;57353900.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;CONSTRU;PERSONA JURIDICA COMERCIAL;1.0;4.0;3;1
Bajo;TERMINACION Y ACABADO DE EDIFICIOS;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37218.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;15834119.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;NOVATOS;PERSONA JURIDICA COMERCIAL;1.0;1.0;2;1
Bajo;VENTA AL POR MENOR DE ALIMENTOS, BEBIDAS Y TABACO EN COMERCIOS ESPECIALIZADOS;0.0;0.0;0.0;0.0;4.0;0.0;12.0;0.0;0.0;10699873.0;0.0;0.0;0.0;0.0;108954.0;0.0;352977.0;3021316.0;3021316.0;3821661.0;1353339.0;0.0;21205952.0;203048.0;0.0;0.0;0.0;4.0;12.0;40.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;352977.0;0.0;0.0;8363695.0;2871015.0;MINO;PERSONA NATURAL;0.0;3.0;3;1
Medio;ACTIVIDADES COMBINADAS DE APOYO A INSTALACIONES;1.0;0.0;0.0;0.0;2.0;6.0;0.0;0.0;2.0;24028684.0;0.0;0.0;0.0;0.0;0.0;0.0;19759524.0;44628711.0;44628711.0;1027825.0;1967994.0;0.0;5409583.0;10357866.0;0.0;2.0;0.0;1.0;12.0;1.0;2000000.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;19759524.0;19759524.0;0.0;0.0;42397275.0;ACTEMP;PERSONA JURIDICA COMERCIAL;1.0;11.0;5;1
Medio;MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-23801.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;SSPERS;PERSONA NATURAL;1.0;14.0;5;0
Bajo;TERMINACION Y ACABADO DE EDIFICIOS;0.0;0.0;0.0;0.0;6.0;0.0;3.0;0.0;0.0;477910.0;0.0;0.0;0.0;0.0;13818.0;0.0;151256.0;173947.0;173947.0;75489.0;0.0;0.0;464660.0;0.0;0.0;0.0;0.0;0.0;12.0;5.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;151256.0;0.0;0.0;455219.0;165250.0;EMISBH;PERSONA NATURAL;0.0;26.0;5;1
Bajo;VENTA AL POR MENOR DE OTROS PRODUCTOS EN COMERCIOS ESPECIALIZADOS;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;5366211.0;0.0;0.0;0.0;0.0;54318.0;0.0;0.0;4612905.0;4612905.0;693436.0;465854.0;0.0;3658864.0;0.0;0.0;0.0;0.0;0.0;12.0;10.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1077696.0;4382260.0;MINO;PERSONA NATURAL;0.0;29.0;6;1
Medio;TERMINACION Y ACABADO DE EDIFICIOS;1.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2256982.0;1187880.0;0.0;11903217.0;6252000.0;1.0;2.0;0.0;6.0;12.0;28.0;5102808.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20257615.0;CONSTRU;PERSONA JURIDICA COMERCIAL;1.0;5.0;4;1
Bajo;TERMINACION Y ACABADO DE EDIFICIOS;1.0;0.0;0.0;0.0;3.0;0.0;13.0;0.0;1.0;1426037.0;0.0;0.0;0.0;0.0;0.0;0.0;411786.0;313000.0;313000.0;99994.0;0.0;5001.0;514796.0;0.0;0.0;3.0;0.0;0.0;12.0;7.0;115853848.0;17444250.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;411786.0;0.0;0.0;4701635.0;297350.0;CONSTRU;PERSONA JURIDICA COMERCIAL;1.0;29.0;6;1
Bajo;TERMINACION Y ACABADO DE EDIFICIOS;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;126053.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31758.0;0.0;0.0;167143.0;0.0;1.0;1.0;1.0;0.0;12.0;2.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;53713123.0;0.0;CONSTRU;PERSONA NATURAL;1.0;11.0;5;1
Bajo;VENTA AL POR MENOR DE ALIMENTOS, BEBIDAS Y TABACO EN COMERCIOS ESPECIALIZADOS;0.0;0.0;0.0;0.0;5.0;0.0;11.0;0.0;0.0;24423605.0;0.0;0.0;0.0;0.0;432458.0;0.0;209628.0;19905647.0;19905647.0;5039912.0;3274981.0;0.0;29574303.0;0.0;0.0;0.0;0.0;0.0;12.0;23.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;209628.0;0.0;0.0;10023399.0;18910365.0;NOVATOS;PERSONA NATURAL;0.0;3.0;3;1
Bajo;OTRAS ACTIVIDADES DE TRANSPORTE POR VIA TERRESTRE;0.0;0.0;0.0;0.0;6.0;0.0;14.0;0.0;0.0;7183275.0;0.0;0.0;0.0;0.0;473477.0;0.0;602307.0;9397502.0;9353126.0;905693.0;524568.0;0.0;4910290.0;998657.0;0.0;0.0;0.0;2.0;12.0;11.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;602307.0;0.0;0.0;-7121551.0;8885470.0;OPLOG;PERSONA NATURAL;0.0;23.0;5;1
Bajo;VENTA AL POR MENOR NO REALIZADA EN COMERCIOS, PUESTOS DE VENTA O MERCADOS;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;532468.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7539.0;7539.0;414833.0;683234.0;1717080.0;2305768.0;0.0;0.0;3.0;0.0;0.0;7.0;16.0;7190351.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;524929.0;7155.0;NOVATOS;PERSONA JURIDICA COMERCIAL;0.0;2.0;3;1
Medio;SUMINISTRO DE COMIDAS POR ENCARGO Y OTRAS ACTIVIDADES DE SERVICIO DE COMIDAS;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;12.0;0.0;1459122048.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;HOTRESDIS;PERSONA JURIDICA COMERCIAL;1.0;7.0;4;1
