Variable,Tipo
campo_64,object
campo_34,object
campo_36,object
campo_38,object
campo_53,object
campo_80,float64
campo_39,float64
campo_62,float64
campo_61,float64
campo_100,float64
campo_22,float64
campo_75,float64
campo_70,float64
campo_71,float64
campo_72,float64
campo_73,float64
campo_69,float64
campo_68,float64
campo_84,float64
campo_83,float64
campo_74,float64
campo_87,float64
campo_86,float64
campo_85,float64
campo_94,float64
campo_93,float64
campo_35,float64
campo_37,float64
campo_91,float64
campo_101,float64
campo_92,float64
campo_26,float64
campo_23,float64
campo_97,object
campo_10,object
campo_11,object
campo_12,object
campo_13,object
campo_51,object
campo_81,float64
campo_77,float64
campo_76,float64
campo_78,float64
campo_79,float64
campo_95,float64
campo_46,object
campo_20,object
campo_104,object
campo_60_cat,object
Presenta_union,int64
